model,class,seed,accuracy,n_trials
cvcl-resnext,saltandpeppershake,2,0.648,500
cvcl-resnext,seashell,0,0.808,500
cvcl-resnext,seashell,1,0.806,500
cvcl-resnext,seashell,2,0.78,500
cvcl-resnext,sippycup,0,0.298,500
cvcl-resnext,sippycup,1,0.274,500
cvcl-resnext,sippycup,2,0.314,500
cvcl-resnext,sodacan,0,0.8,500
cvcl-resnext,sodacan,1,0.768,500
cvcl-resnext,sodacan,2,0.77,500
cvcl-resnext,stapler,0,0.728,500
cvcl-resnext,stapler,1,0.732,500
cvcl-resnext,stapler,2,0.748,500
cvcl-resnext,stool,0,0.942,500
cvcl-resnext,stool,1,0.924,500
cvcl-resnext,stool,2,0.922,500
cvcl-resnext,suitcase,0,0.542,500
cvcl-resnext,suitcase,1,0.498,500
cvcl-resnext,suitcase,2,0.516,500
cvcl-resnext,telescope,0,0.862,500
cvcl-resnext,telescope,1,0.782,500
cvcl-resnext,telescope,2,0.85,500
cvcl-resnext,tennisracquet,0,0.9,500
cvcl-resnext,tennisracquet,1,0.9272727272727272,500
cvcl-resnext,tennisracquet,2,0.9136363636363637,500
cvcl-resnext,toothpaste,0,0.968,500
cvcl-resnext,toothpaste,1,0.954,500
cvcl-resnext,toothpaste,2,0.944,500
cvcl-resnext,train,0,0.964,500
cvcl-resnext,train,1,0.926,500
cvcl-resnext,train,2,0.944,500
cvcl-resnext,tree,0,0.7,500
cvcl-resnext,tree,1,0.696,500
cvcl-resnext,tree,2,0.734,500
cvcl-resnext,tricycle,0,0.98,500
cvcl-resnext,tricycle,1,0.922,500
cvcl-resnext,tricycle,2,0.942,500
cvcl-resnext,trophy,0,0.732,500
cvcl-resnext,trophy,1,0.688,500
cvcl-resnext,trophy,2,0.726,500
cvcl-resnext,trumpet,0,0.948,500
cvcl-resnext,trumpet,1,0.96,500
cvcl-resnext,trumpet,2,0.954,500
cvcl-resnext,vase,0,0.906,500
cvcl-resnext,vase,1,0.868,500
cvcl-resnext,vase,2,0.898,500
cvcl-resnext,wineglass,0,0.736,500
cvcl-resnext,wineglass,1,0.65,500
cvcl-resnext,wineglass,2,0.696,500
clip-res,abacus,0,0.938,500
clip-res,abacus,1,0.934,500
clip-res,abacus,2,0.932,500
clip-res,apple,0,0.976,500
clip-res,apple,1,0.98,500
clip-res,apple,2,0.982,500
clip-res,axe,0,0.876,500
clip-res,axe,1,0.862,500
clip-res,axe,2,0.882,500
clip-res,babushkadolls,0,0.972,500
clip-res,babushkadolls,1,0.97,500
clip-res,babushkadolls,2,0.972,500
clip-res,bagel,0,0.99,500
clip-res,bagel,1,0.988,500
clip-res,bagel,2,0.984,500
clip-res,ball,0,1.0,500
clip-res,ball,1,1.0,500
clip-res,ball,2,1.0,500
clip-res,basket,0,0.714,500
clip-res,basket,1,0.674,500
clip-res,basket,2,0.696,500
clip-res,bell,0,0.986,500
clip-res,bell,1,0.99,500
clip-res,bell,2,0.99,500
clip-res,bird,0,0.956,500
clip-res,bird,1,0.956,500
clip-res,bird,2,0.962,500
clip-res,bonzai,0,0.972,500
clip-res,bonzai,1,0.974,500
clip-res,bonzai,2,0.97,500
clip-res,bread,0,0.744,500
clip-res,bread,1,0.696,500
clip-res,bread,2,0.748,500
clip-res,butterfly,0,0.972,500
clip-res,butterfly,1,0.976,500
clip-res,butterfly,2,0.976,500
clip-res,calculator,0,0.952,500
clip-res,calculator,1,0.968,500
clip-res,calculator,2,0.96,500
clip-res,camera,0,0.994,500
clip-res,camera,1,0.98,500
clip-res,camera,2,0.996,500
clip-res,candle,0,0.99,500
clip-res,candle,1,0.986,500
clip-res,candle,2,0.986,500
clip-res,cookie,0,0.984,500
clip-res,cookie,1,0.988,500
clip-res,cookie,2,0.98,500
clip-res,doll,0,0.974,500
clip-res,doll,1,0.984,500
clip-res,doll,2,0.986,500
clip-res,doorknob,0,0.968,500
clip-res,doorknob,1,0.956,500
clip-res,doorknob,2,0.966,500
clip-res,dresser,0,0.844,500
clip-res,dresser,1,0.822,500
clip-res,dresser,2,0.818,500
clip-res,dumbell,0,0.936,500
clip-res,dumbell,1,0.942,500
clip-res,dumbell,2,0.938,500
clip-res,earrings,0,0.968,500
clip-res,earrings,1,0.958,500
clip-res,earrings,2,0.956,500
clip-res,fan,0,0.784,500
clip-res,fan,1,0.74,500
clip-res,fan,2,0.746,500
clip-res,goggle,0,0.948,500
clip-res,goggle,1,0.952,500
clip-res,goggle,2,0.954,500
clip-res,grill,0,0.996,500
clip-res,grill,1,0.99,500
clip-res,grill,2,0.992,500
clip-res,handbag,0,0.958,500
clip-res,handbag,1,0.964,500
clip-res,handbag,2,0.974,500
clip-res,handgun,0,0.968,500
clip-res,handgun,1,0.952,500
clip-res,handgun,2,0.95,500
clip-res,handheldgame,0,0.69,500
clip-res,handheldgame,1,0.69,500
clip-res,handheldgame,2,0.706,500
clip-res,headband,0,0.948,500
clip-res,headband,1,0.934,500
clip-res,headband,2,0.942,500
clip-res,helmet,0,0.912,500
clip-res,helmet,1,0.924,500
clip-res,helmet,2,0.92,500
clip-res,horse,0,0.714,500
clip-res,horse,1,0.732,500
clip-res,horse,2,0.698,500
clip-res,keyboard,0,0.858,500
clip-res,keyboard,1,0.872,500
clip-res,keyboard,2,0.86,500
clip-res,lantern,0,0.874,500
clip-res,lantern,1,0.87,500
clip-res,lantern,2,0.85,500
clip-res,lei,0,0.91,500
clip-res,lei,1,0.926,500
clip-res,lei,2,0.906,500
clip-res,lipstick,0,1.0,500
clip-res,lipstick,1,1.0,500
clip-res,lipstick,2,1.0,500
clip-res,lock,0,0.992,500
clip-res,lock,1,0.994,500
clip-res,lock,2,0.992,500
clip-res,meat,0,0.928,500
clip-res,meat,1,0.938,500
clip-res,meat,2,0.932,500
clip-res,microwave,0,0.916,500
clip-res,microwave,1,0.934,500
clip-res,microwave,2,0.918,500
clip-res,muffin,0,0.952,500
clip-res,muffin,1,0.952,500
clip-res,muffin,2,0.96,500
clip-res,nailpolish,0,0.766,500
clip-res,nailpolish,1,0.76,500
clip-res,nailpolish,2,0.776,500
clip-res,ornament,0,0.962,500
clip-res,ornament,1,0.97,500
clip-res,ornament,2,0.966,500
clip-res,pen,0,0.974,500
clip-res,pen,1,0.962,500
clip-res,pen,2,0.968,500
clip-res,phone,0,0.916,500
clip-res,phone,1,0.908,500
clip-res,phone,2,0.908,500
clip-res,pillow,0,0.936,500
clip-res,pillow,1,0.942,500
clip-res,pillow,2,0.946,500
clip-res,pipe,0,0.958,500
clip-res,pipe,1,0.96,500
clip-res,pipe,2,0.956,500
clip-res,pitcher,0,0.938,500
clip-res,pitcher,1,0.936,500
clip-res,pitcher,2,0.944,500
clip-res,powerstrip,0,0.842,500
clip-res,powerstrip,1,0.824,500
clip-res,powerstrip,2,0.822,500
clip-res,pumpkin,0,0.9818181818181818,500
clip-res,pumpkin,1,0.9772727272727273,500
clip-res,pumpkin,2,0.9863636363636363,500
clip-res,rabbit,0,0.98,500
clip-res,rabbit,1,0.98,500
clip-res,rabbit,2,0.98,500
clip-res,ring,0,0.978,500
clip-res,ring,1,0.976,500
clip-res,ring,2,0.992,500
clip-res,rug,0,0.948,500
clip-res,rug,1,0.918,500
clip-res,rug,2,0.934,500
clip-res,saddle,0,0.786,500
clip-res,saddle,1,0.78,500
clip-res,saddle,2,0.776,500
clip-res,saltandpeppershake,0,0.938,500
clip-res,saltandpeppershake,1,0.92,500
clip-res,saltandpeppershake,2,0.93,500
clip-res,seashell,0,0.94,500
clip-res,seashell,1,0.914,500
clip-res,seashell,2,0.932,500
clip-res,sippycup,0,0.62,500
clip-res,sippycup,1,0.61,500
clip-res,sippycup,2,0.602,500
clip-res,sodacan,0,0.954,500
clip-res,sodacan,1,0.954,500
clip-res,sodacan,2,0.946,500
clip-res,stapler,0,0.944,500
clip-res,stapler,1,0.95,500
clip-res,stapler,2,0.968,500
clip-res,stool,0,0.974,500
clip-res,stool,1,0.986,500
clip-res,stool,2,0.982,500
clip-res,suitcase,0,0.74,500
clip-res,suitcase,1,0.778,500
clip-res,suitcase,2,0.75,500
clip-res,telescope,0,0.998,500
clip-res,telescope,1,1.0,500
clip-res,telescope,2,1.0,500
clip-res,tennisracquet,0,0.990909090909091,500
clip-res,tennisracquet,1,0.9863636363636363,500
clip-res,tennisracquet,2,0.9772727272727273,500
clip-res,toothpaste,0,0.958,500
clip-res,toothpaste,1,0.928,500
clip-res,toothpaste,2,0.94,500
clip-res,train,0,0.956,500
clip-res,train,1,0.946,500
clip-res,train,2,0.946,500
clip-res,tree,0,0.922,500
clip-res,tree,1,0.912,500
clip-res,tree,2,0.932,500
clip-res,tricycle,0,1.0,500
clip-res,tricycle,1,1.0,500
clip-res,tricycle,2,1.0,500
clip-res,trophy,0,0.91,500
clip-res,trophy,1,0.924,500
clip-res,trophy,2,0.918,500
clip-res,trumpet,0,1.0,500
clip-res,trumpet,1,0.998,500
clip-res,trumpet,2,1.0,500
clip-res,vase,0,0.958,500
clip-res,vase,1,0.95,500
clip-res,vase,2,0.956,500
clip-res,wineglass,0,0.922,500
clip-res,wineglass,1,0.926,500
clip-res,wineglass,2,0.928,500
